"","x"
"189",-0.243087783917877
"190",-0.503566619248949
"191",-0.506407689651145
"192",-0.503495497422125
"193",-1.05753624196857
"194",-0.409548157686672
"195",-2.07709611949027
"196",-1.06205869922621
"197",-1.62550720057286
"198",0.188266398634697
"199",-0.950405877981489
"200",0.354469243002008
"201",-2.21718229639044
"202",-1.6058854743667
"203",-0.99836685032484
"204",-1.498379337951
"205",-1.41190701515691
"206",-1.19919108679257
"207",-1.61447368356122
"208",1.4457504152421
"209",0.152708741617704
"210",-1.67315000396975
"211",-0.825078476341088
"212",-1.65154133794637
"213",-2.64924451113861
"214",1.08159460621694
"215",-1.90862225960299
"216",-1.4710326825633
"217",-0.317469513268433
"218",-2.17353268292083
"219",-2.03649121369618
"220",-0.462847562093013
"221",-1.02227161704124
"222",-2.08865805130436
"223",-1.00019595941919
"224",-0.999699240261835
"225",-2.11229083900553
"226",-1.98423225951538
"227",-0.082358510333461
"228",-2.17216560823869
"229",-0.232494692220394
"230",1.41721834519039
"231",-0.137170337998347
"232",-1.02808840018469
"233",-2.19464299800805
"234",-1.42801459518357
"235",-0.401301821900979
"236",-0.409475946835311
"237",-1.45746311772692
"238",-0.220911240606922
"239",-1.82465237174631
"240",0.72134952610208
"241",-2.0741510286883
"242",0.953613523999223
"243",-1.12720312894571
"244",-2.32799507139146
"245",-1.39328669490149
"246",-0.278322415135834
"247",-0.576165503978968
"248",-1.49122825851478
"249",-1.08435990361047
"250",-1.02564882541436
"251",-1.80264592843315
"252",-2.8181000247219
"253",-1.37691851322509
"254",0.864289324388085
"255",-1.28930308276812
"256",-1.03839428764346
"257",-1.77731127698881
"258",-1.33613916035637
"259",-0.477154291096094
"260",-0.53662163764224
"261",-1.12196151007488
"262",-1.19324556293263
"263",-1.01548592449353
"264",-0.469924331656314
"265",-2.65056719388492
"266",-1.50473626751449
"267",-1.36126222706052
"268",0.668298419474415
"269",0.137930410911905
"270",0.760772666531412
"271",-1.42881383438803
"272",-1.8037582309514
"273",-0.348082679515206
"274",-1.70041649728216
"275",-1.90529295944285
"276",1.57827690982056
"277",0.114990640637075
"278",-0.895879104669428
"279",-3.33772551100866
"280",-2.54595030584641
"281",0.105241403863813
"282",-1.1508072715002
"283",-2.62189695078546
"284",-1.89491777530686
"285",-1.08946218730225
"286",-2.12212545731986
"287",-1.30172160703807
"288",1.6042586849784
"289",-2.09650106853422
"290",1.05441613113125
"291",-1.5897006079061
"292",-1.0222807604443
"293",-0.781202312491499
"294",-1.65775359621106
"295",-0.499678330544045
"296",-0.64857993591105
"297",-0.437969982278212
"298",-0.220439172816365
"299",-1.08505193947025
"300",-1.10586766328784
"301",-2.44613081932317
"302",-1.0062579875903
"303",-0.802344272636807
"304",-1.80078448835361
"305",-0.943377681188194
"306",-0.636330174021925
"307",0.341687940591435
"308",0.25361404552083
"309",-2.20956610962448
"310",-0.908894016440119
"311",-1.69246572215183
"312",1.52988880165631
"313",-2.624568777505
"314",-3.20708322010777
"315",-2.30989363316591
"316",-1.2775750653929
"317",-1.3981431031468
"318",-2.51777880168068
"319",-2.16246953199649
"320",-1.37535091622546
"321",-1.96271724792239
"322",-3.13981108536431
"323",-0.85970679629839
"324",-2.54400598249436
"325",0.168975902135882
"326",-1.73851126061493
"327",-0.16630267527222
"328",-1.0915465431728
"329",-1.74808156777783
"330",2.50357500563387
"331",-2.59530575348451
"332",-2.05590158357461
"333",-0.191940928516125
"334",-2.33325643066962
"335",-1.09856693920278
"336",-1.50462254181799
"337",-1.16716022553378
"338",-1.91874840969553
"339",-0.68322763745758
"340",-1.38300683979885
"341",-1.76040144721571
"342",-2.94271061657567
"343",-0.248387704128384
"344",-2.28327623697338
"345",-2.39198972474046
"346",-1.92672529948896
"347",-1.33388184668642
"348",-2.3631634223455
"349",-0.687210070083194
"350",-0.657580447465345
"351",-3.06687416269454
"352",-1.9736714913031
"353",-3.13809227911821
"354",-0.329061367035252
"355",1.5453663077204
"356",-2.32907371295163
"357",-0.728649460717166
"358",-3.68597232235655
"359",-1.45133091876199
"360",-2.39829719686962
"361",-1.78887906054921
"362",-0.938924808883087
"363",0.68275611286438
"364",-2.13336143010251
"365",0.346669057323428
"366",-1.93725520683174
"367",-3.07353697538602
"368",-1.64126294967582
"369",-1.09984839202515
"370",-1.82846549089653
"371",-0.828941214855825
"372",-3.27134225174224
"373",-3.05796091498499
"374",-1.25245628310948
"375",-0.282887526064565
"376",-0.312543096049928
"377",-1.86125892474481
"378",-1.16348254096703
"379",-1.48713292390744
"380",-2.10126272610435
"381",-3.38437155587531
"382",-3.8189571461891
"383",-1.57301801884692
"384",-2.96501737787259
"385",-3.27935229960233
"386",-0.458237232692008
"387",-1.40810469773414
"388",-2.32007293199403
"389",-1.08118058549797
"390",-0.427561997203505
"391",-2.22747813922717
"392",-1.66399644635885
"393",0.411136566004207
"394",-2.02724539678977
"395",-1.16462641341492
"396",-1.87111381535513
"397",-1.85253338410146
"398",-2.12136992041818
"399",-0.622224698390687
"400",-2.31911658402262
"401",-2.66927605991946
"402",-0.667845224286314
"403",-1.90022445535208
"404",-1.0825339468829
"405",-1.56121078102872
"406",-2.04387038604776
"407",-0.86045367141356
"408",0.124108887296416
"409",-0.750327716147738
"410",-2.88352761638804
"411",-1.08988260222946
"412",-2.62798392893209
"413",-0.948861323729605
"414",-1.03878864082198
"415",-2.50173199586383
"416",-2.20407436021346
"417",-0.77452758811304
"418",-2.85897323726908
"419",-1.72153590965129
"420",-2.71517531277977
"421",-0.400750879770686
"422",-1.83016129985617
"423",-1.14886682658486
"424",0.0204186265657961
"425",-1.79192734337834
"426",-3.71873809995613
"427",-2.90193359084221
"428",-1.61340442946876
"429",0.137572851666078
"430",-1.81442710090523
"431",-2.25046132093875
"432",-2.93339669149739
"433",-2.86596374362938
"434",-1.04702685733511
"435",-1.9565047136588
"436",-1.19490253296174
"437",-2.50904999308351
"438",-0.91533021213628
"439",-3.02675279532714
"440",-1.1379179767402
"441",-0.468370400916149
"442",-2.04545840118165
"443",-1.46595721176828
"444",-1.97374490176852
"445",-1.20343628565584
"446",-3.6473117269273
"447",-0.360388451360999
"448",-1.81115566266867
"449",-2.42034613608958
"450",-2.09909940987522
"451",-0.421992628900936
"452",0.850917973369455
"453",-1.46972442985027
"454",-1.00353309663504
"455",-0.808860785793915
"456",-1.79538870932681
"457",-2.38901535325746
"458",-1.66148575790876
"459",-2.58384850620847
"460",-1.8480345382814
"461",0.0422329540634066
"462",-1.40498481236951
"463",-2.43878780030015
"464",-0.0685278183141105
"465",-2.53471127765252
"466",-2.23337662031015
"467",-2.01682130318065
"468",-2.25588857926972
"469",-2.08167119216749
"470",-1.7483937152097
"471",-2.35827053600635
"472",-1.44179482491561
"473",-1.05908801919085
"474",-1.36182365914548
"475",-2.84705205597906
"476",-3.54497904801968
"477",-1.18668921519735
"478",-2.60299656870882
"479",-1.64607706586068
"480",-2.89609889322472
"481",-2.96981092811211
